site,latitude,longitude,landuse,vegetation,pH,OrM,SWC,NO3,NH4,CN,N2O,water_table,soil_temp,MAT,MAP,total_bac,total_arc,arc_div,bac_div,fun_div,FGD,AamoA,BamoA,comammox,nirK,nirS,nrfA,nosZI,nosZII,n.damo,nifH,,,,,,
Bashkortostan_drained_fen,55.5476,55.598,peat_extract,sedges,6.755,0.29,0.350716667,0.875504982,-0.595166283,1.107239602,1.267289089,2.106077519,1.250420002,4.2,2.675778342,10.628521,9.403155,2.994822803,6.879354957,1.540751236,1.386849253,7.956205,6.335822,2.893268,9.360852,7.785808,4.101973,7.942312,8.727156,6.132126,8.541885,,,,,,
Bashkortostan_drained_floodplain_1,55.4491,55.4865,hay_field,grasses,4.456666667,0.342222222,0.208544444,1.108437227,1.502058223,NA,1.467953234,1.698970004,1.262978146,4.3,2.699837726,10.846346,9.498981,2.590486877,6.75194162,1.348292102,1.47858154,7.151525,8.527251,5.60229,9.426868,7.706306,4.89312,7.944731,8.867422,5.651963,9.253534,,,,,,
Bashkortostan_drained_floodplain_2,55.4337,55.4497,fen,sedges,3.821111111,0.29,0.417777778,1.006513581,1.060109991,1.060609182,2.190583796,1.698970004,1.167645476,4.3,2.691081492,10.622596,9.663029,2.984251622,6.397527634,1.021282026,0.962905276,6.193637,7.413817,2.398195,9.591754,7.190512,3.800939,7.401433,7.879208,5.832148,8.311522,,,,,,
Bashkortostan_fen,55.4804,55.9943,fen,sedges,6.142222222,0.506666667,0.93,0.077973194,1.663962533,1.245110626,1.174834815,2.297395711,1.301029996,4.1,2.723455672,11.177201,9.931218,2.924863159,6.630993687,0.854432294,1.24027836,5.680865,6.487685,5.911655,9.648186,8.386415,4.500643,8.024545,8.86508,7.485912,9.974377,,,,,,
Borneo_drained_swamp,5.322965,115.6649604,arable,bare_soil,2.168333333,0.784166667,0.384166667,1.1532049,1.692766161,1.462487617,2.43336441,2.155336037,1.461648568,27.1,3.522824455,9.905632,10.2017,2.723294492,4.959595926,1.419933598,1.086037644,7.818659,1,1,8.562758,1,2.44433,7.408579,6.778471,1,8.591241,,,,,,
Borneo_swamp_forest,5.3223,115.6581,forest,tropical_forest,2.303333334,0.793333334,0.61,1.503302565,1.661039287,1.355671711,1.947482737,2.158362492,1.420505837,27.1,3.536558443,10.829548,10.395809,,,,0.98567714,8.111702,1,1,9.345652,5.982041,4.466912,7.663102,7.324105,1,9.476972,,,,,,
Brazil_drained_floodplain,-28.5523,-48.8076,pasture,grasses,5.902222222,0.368333333,0.78625,0.746616903,1.195369139,1.035037824,1.455656815,2.269512944,1.299216655,21.3,3.147676324,11.459809,10.433037,3.389798735,6.680714504,1.085441151,1.356088954,8.039906,6.36598,5.69018,10.141252,9.515707,5.581349,8.365545,9.050491,7.422849,10.435978,,,,,,
Brazil_floodplain,-28.5527,-48.8079,fen,sedges,6.317777778,0.221111111,0.906468889,0.526339277,1.045444686,1.041512299,1.290034611,2.315503864,1.258211452,21.3,3.147676324,11.391046,10.502711,,,,1.389089106,8.660733,5.298518,6.633317,10.097715,9.660777,4.724554,8.161322,8.823158,6.553309,10.453166,,,,,,
California_drained_fen,38.0169,-121.6203,hay_field,sedges,5.736666667,0.27,0.962606483,0.596083702,0.781108836,1.204051756,1.928651847,2.28780173,1.355227961,16.7,2.572871602,10.562601,9.862677,,,,1.549541817,7.676504,8.045376,1,9.413954,8.002502,6.140123,8.121289,8.804311,5.305826,8.623416,,,,,,
California_fen,38.0169,-121.6203,fen,sedges,5.356666667,0.266666667,0.423333333,-0.32330639,0.700991998,1.148265557,1.189490314,2.283301229,1.359202861,16.7,2.572871602,10.613255,10.187877,1.614141025,6.513534134,1.631360218,1.469726035,7.740186,4.671529,7.45077,8.984031,9.716234,6.360172,8.629145,8.20476,6.750607,9.880202,,,,,,
Catalonia_transitional_bog,42.6282,0.7607,pasture,mosses,4.182222222,0.644444444,0.736666667,1.122434336,1.144954546,1.337768714,1.328379603,2.065704172,1.162033078,5.4,2.944482672,11.080336,8.867839,3.50771612,6.32326444,1.651132273,1.260224776,3.660458,4.340834,2.591562,9.200505,7.753798,3.220889,8.241063,8.030692,6.157729,9.88306,,,,,,
