Y,Bacteria;Acidobacteria,Bacteria;Proteobacteria;Alphaproteobacteria,Bacteria;Actinobacteria,Bacteria;Proteobacteria;Deltaproteobacteria,Bacteria;Chloroflexi,Bacteria;Proteobacteria;Betaproteobacteria,Bacteria;Proteobacteria;Gammaproteobacteria,Bacteria;Planctomycetes,Bacteria;Verrucomicrobia,Bacteria;Bacteroidetes,Archaea;Euryarchaeota,Bacteria;Nitrospirae,Bacteria;Firmicutes,Bacteria;Gemmatimonadetes,Bacteria;Parcubacteria,Bacteria;Spirochaetae,Bacteria;Ignavibacteriae,Eukaryota;Ascomycota,Bacteria;Microgenomates,Bacteria;Chlamydiae,Archaea;Bathyarchaeota,Archaea;Thaumarchaeota,Bacteria;Latescibacteria,Bacteria;Saccharibacteria,Eukaryota;Basidiomycota,latitude,longitude,pH,VPG,OrM,SWC,P,K,Ca,Mg,NO3,NH4,N,C,CN,water_table,Temperature_20,MAT,MAP
Bashkortostan_drained_fen,0.347609836,0.308061843,0.36702757,0.288241975,0.364858405,0.325057494,0.211810952,0.182751231,0.120513201,0.198334928,0.026562978,0.128082043,0.086754324,0.195347786,0.102877973,0.061821967,0.071932885,0.071523008,0.075131448,0.04788709,0.064155688,0.064155688,0.105418552,0.062295706,0.026562978,55.5476,55.598,6.755,5,0.29,0.350716667,1.504130906,1.941080568,4.239001086,3.129822502,0.875504982,-0.595166283,0.097488687,1.216737545,1.107239602,2.106077519,1.225739916,4.2,2.675778342
Bashkortostan_drained_floodplain_1,0.39531744,0.385392203,0.38677107,0.263856501,0.281324545,0.274406105,0.218752905,0.169724309,0.171285424,0.161875615,0.089360677,0.089029097,0.119889929,0.186970594,0.054383176,0.03076377,0.028776872,0.081029108,0.055990907,0.068789881,0.065259812,0.015381885,0.063885767,0.097283583,0.020348321,55.4491,55.4865,4.456666667,5,0.342222222,0.208544444,1.650954758,2.459924976,3.624783841,2.851936107,1.108437227,1.502058223,NA,1.252610341,NA,1.698970004,1.214254974,4.3,2.699837726
Bashkortostan_drained_floodplain_2,0.305733986,0.357187365,0.372249947,0.225832522,0.316797686,0.304659346,0.202071918,0.124815377,0.132464096,0.199211302,0.115252087,0.061414399,0.139106458,0.216186574,0.148789805,0.05122315,0.087792056,0.05122315,0.070140187,0.047914869,0.104034709,0.012805787,0.028634611,0.147683546,0.078940176,55.4337,55.4497,3.821111111,5,0.29,0.417777778,1.209515015,2.221167821,3.558397868,2.955094713,1.006513581,1.060109991,0.152288344,1.212897526,1.060609182,1.698970004,1.126023118,4.3,2.691081492
Bashkortostan_fen,0.203372043,0.274175736,0.247761185,0.30647497,0.371978398,0.325724115,0.231031249,0.201373954,0.130614374,0.281863425,0.057213508,0.072635578,0.135959554,0.094113739,0.133674356,0.104395632,0.124886824,0.027049915,0.145271155,0.051920412,0.067124651,0.021497093,0.080912118,0.071297791,0.013876314,55.4804,55.9943,6.142222222,1,0.506666667,0.93,2.335085521,2.618003909,3.95185161,3.241578852,0.077973194,1.663962533,0.200485698,1.452144363,1.245110626,2.297395711,1.272615061,4.1,2.723455672
Borneo_drained_swamp,0.423406869,0.420867252,0.388028109,0.13762211,0.046943505,0.063170171,0.183604308,0.148448398,0.133893008,0.046943505,0.403970762,0.015434929,0.17699766,0.029889612,0.03274243,0.007717465,0.007717465,0.048195552,0.021828287,0.057752218,0.010914143,0.29204257,0,0.059278971,0.021828287,5.322965,115.6649604,2.168333333,4.75,0.784166667,0.384166667,1.050347528,1.56019566,2.341154138,2.21163217,1.1532049,1.692766161,0.142493751,1.603748643,1.462487617,2.155336037,1.472512669,27.14166667,3.522824455
Borneo_swamp_forest,0.518673859,0.39839326,0.36970481,0.168351879,0.033135285,0.09640669,0.228676457,0.162643367,0.153932551,0.056720722,0.37015346,0.010106167,0.143546711,0.047670695,0.039465844,0.030318501,0,0.09876161,0.020834397,0.055813132,0.011299038,0.196356351,0.007146139,0.046035782,0.051778698,5.3223,115.6581,2.303333334,5,0.793333334,0.61,2.019735774,2.357780848,2.235275877,2.587645498,1.503302565,1.661039287,0.266976056,1.616134036,1.355671711,2.158362492,1.424200817,27.1,3.536558443
Brazil_drained_floodplain,0.34912144,0.364079634,0.229151785,0.434696777,0.29787802,0.258495613,0.251480858,0.208880398,0.120949778,0.11719432,0.065908555,0.232060446,0.107231798,0.101414551,0.089001675,0.075824331,0.095242658,0.073253264,0.057078483,0.052410893,0.083061394,0.046604386,0.120420455,0.036626632,0.015985173,-28.5523,-48.8076,5.902222222,4,0.368333333,0.78625,1.852954151,2.341771848,3.75694657,2.829071372,0.746616903,1.195369139,0.282924073,1.31692507,1.035037824,2.269512944,1.312106803,21.3,3.147676324
Brazil_floodplain,0.249535651,0.385697921,0.307299511,0.445712681,0.289507224,0.227265229,0.2513879,0.208578893,0.095247913,0.151623516,0.051772699,0.225671963,0.126409578,0.123522192,0.07251022,0.066580701,0.089672945,0.030460385,0.06421613,0.066580701,0.0497416,0.061761096,0.108883746,0.014359163,0.014359163,-28.5527,-48.8079,6.317777778,1,0.221111111,0.906468889,1.42258984,2.527204419,3.452467949,3.323917073,0.526339277,1.045444686,0.06279083,1.104145551,1.041512299,2.315503864,1.281033367,21.3,3.147676324
California_drained_fen,0.333586767,0.373157381,0.354668639,0.31574636,0.319064277,0.233763659,0.223004189,0.195909492,0.141040233,0.168624895,0.057239729,0.127991926,0.130705837,0.230994148,0.071753798,0.061191845,0.110315167,0.050737597,0.076489806,0.083790384,0.059248749,0.055157583,0.107630697,0.067553967,0.018736099,38.0169,-121.6203,5.736666667,3,0.27,0.962606483,1.752739694,2.494465356,3.884834998,3.320859135,0.596083702,0.781108836,0.025715384,1.22976714,1.204051756,2.28780173,1.347492642,16.7,2.572871602
California_fen,0.36561237,0.250456026,0.220257354,0.339919288,0.325614863,0.374075107,0.208078874,0.195475691,0.196473872,0.17911275,0.061497569,0.238452672,0.061497569,0.137037742,0.12561793,0.089191582,0.103410794,0.025535476,0.055945424,0.04708509,0.048450158,0.082349434,0.116459687,0.039559389,0,38.0169,-121.6203,5.356666667,3,0.266666667,0.423333333,1.901875886,2.302489665,3.64761766,3.192316505,-0.32330639,0.700991998,0.086359831,1.234625388,1.148265557,2.283301229,1.350893809,16.7,2.572871602
