site,archaeal_div_mean,bacterial_div_mean,fungal_div_mean,,,
Bashkortostan_drained_fen,2.994822803,6.879354957,1.540751236,,,
Bashkortostan_drained_floodplain_1,2.590486877,6.75194162,1.348292102,,,
Bashkortostan_drained_floodplain_2,2.984251622,6.397527634,1.021282026,,,
Bashkortostan_fen,2.924863159,6.630993687,0.854432294,,,
Borneo_drained_swamp,2.723294492,4.959595926,1.419933598,,,
Brazil_drained_floodplain,3.378716142,6.675409179,1.409348295,,,
Brazil_floodplain,3.389798735,6.680714504,1.085441151,,,
Catalonia_transitional_bog,1.614141025,6.513534134,1.631360218,,,
Colombia_drained_paramo,3.50771612,6.32326444,1.651132273,,,
Estonia_drained_floodplain,2.452511315,6.771347563,1.512850606,,,
Estonia_floodplain,3.11151326,6.727748084,1.572818073,,,
Finland_drained_fen,2.130058909,6.140117276,1.687648173,,,
Finland_fen,4.148436462,6.309878112,0.760430717,,,
Florida_restored_wetland_dry,3.578292693,7.290170653,1.00994909,,,
Florida_restored_wetland_wet,4.98684923,5.46910081,0.907570769,,,
Florida_swamp_forest_1,3.024749696,7.09054284,1.46350666,,,
Florida_swamp_forest_2,3.485154017,7.198916997,1.20889694,,,
Florida_tomato_field,3.152112803,6.53217398,1.102304434,,,
French_Pyrenees_fen,3.537614953,6.761222169,1.229145352,,,
Iceland_drained_fen,2.734191056,6.167467769,1.301647065,,,
Iceland_drained_fen_2,1.093545948,6.786379875,1.693558643,,,
Iceland_fen_1,3.21306049,6.492352305,1.258010914,,,
Khabarovsk_drained_fen,2.59980497,5.413106883,1.636945505,,,
Khabarovsk_fen,2.67271598,6.466817463,1.376512385,,,
Kyrgyzstan_drained_fen,2.650622623,6.865818531,1.036241743,,,
Kyrgyzstan_fen_1,3.16644092,6.905488541,1.041192741,,,
Kyrgyzstan_fen_2,3.456311764,6.736748149,0.45745987,,,
Mexico_chinampa_1,2.967363907,7.087639073,1.788032685,,,
Mexico_chinampa_2,2.938356464,7.021414593,1.524228073,,,
Mexico_fen,3.160541053,6.509893387,0.616569903,,,
Montana_Bog_1,1.219715432,6.723761044,1.692606424,,,
Montana_bog_2,2.811132349,7.048502803,1.545670191,,,
Morocco_bog_1,2.95438502,6.640284279,1.398750178,,,
Morocco_bog_2,2.365380148,6.298262364,1.635188949,,,
Myanmar_drained_fen_1,3.723998024,7.219888882,1.249878304,,,
Myanmar_drained_fen_2,3.762663729,7.20088229,1.320886722,,,
Myanmar_fen,3.886855548,7.277446494,1.547213074,,,
New_Zealand_drained_fen_1,1.795545833,6.343801407,1.543113396,,,
New_Zealand_drained_fen_2,1.190596806,6.567427928,1.600390161,,,
New_Zealand_fen_1,0.366204097,6.02865642,1.449061325,,,
New_Zealand_fen_2,2.280914177,6.39714421,1.690322027,,,
Pantanal_pasture_1,3.469120556,6.802880673,1.531419922,,,
Pantanal_pasture_2,3.717152414,6.766530731,0.951722938,,,
Pantanal_pasture_3,4.478140962,7.071278018,0.991038873,,,
Pantanal_swamp_forest,3.254350885,6.780662284,1.76112844,,,
Quebec_drained_bog,3.037509607,6.94540779,1.655986051,,,
Quebec_transitional_bog,2.97449211,5.24288776,1.568480335,,,
Romania_bog_1,1.782218393,5.461171673,1.671237461,,,
Romania_bog_2,2.023694569,4.632306411,1.45305493,,,
Romania_bog_forest_1,2.62972923,6.177259597,1.539425043,,,
Romania_bog_forest_2,2.071545425,5.031897449,1.460383501,,,
Siberia_bog,1.943929444,5.371125095,0.811828988,,,
Siberia_bog_forest,0.873425086,5.837404457,1.49329881,,,
Siberia_fen,2.949310613,6.359362595,1.552902526,,,
Taiwan_fen,4.138640372,6.678481544,1.477695817,,,
Taiwan_recreation,4.600937218,7.074983306,0.923240481,,,
Tasmania_blanket_bog,0.150674417,5.348120222,1.53727808,,,
Tasmania_drained_fen_1,1.114113367,6.386556973,1.425748446,,,
Tasmania_drained_fen_2,1.805325335,6.69964146,1.627232891,,,
Tasmania_fen,2.859638767,6.958684733,1.684288408,,,
Tasmania_raised_bog,1.688127826,5.859416043,1.596585298,,,
Tierra_del_Fuego_bog,1.476868822,5.863062041,1.058488305,,,
Tierra_del_Fuego_fen,2.585988518,6.103223154,1.252137295,,,
Uganda_drained_fen_1,3.166207892,6.792845257,1.527318678,,,
Uganda_drained_fen_2,2.962466533,6.693364737,1.523372539,,,
Uganda_fen,3.36147317,6.284852047,1.34468177,,,
Uganda_rice_paddy,3.183229472,5.941421415,1.204976747,,,
Wales_blanket_bog,3.115687606,5.966185896,1.312984384,,,
Wales_drained_bog,2.822927413,5.59523877,1.722079927,,,
Wales_fen,2.504098958,5.771491974,1.608344469,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
